ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Sex_Code,Sex_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2014,Source_2015,Source_2016,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BGR,25.23763153,42.75731323,100,Bulgaria,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,15+,15 years old and over,FEMALE,Female,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
",,,C,,,GLOTIP Database,,,,,,96.87,2016.0,96.87
BGR,25.23763153,42.75731323,100,Bulgaria,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,15+,15 years old and over,MALE,Male,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
",,,C,,,GLOTIP Database,,,,,,7.61,2016.0,7.61
BGR,25.23763153,42.75731323,100,Bulgaria,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,<15Y,under 15 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",,,C,,,GLOTIP Database,,,,,,6.49,2016.0,6.49
BGR,25.23763153,42.75731323,100,Bulgaria,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,<15Y,under 15 years old,MALE,Male,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",,,C,,,GLOTIP Database,,,,,,2.68,2016.0,2.68
MMR,96.51752295,21.19332882,104,Myanmar,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,15+,15 years old and over,FEMALE,Female,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
",,,C,,,GLOTIP Database,,,,,,25.73,2016.0,25.73
MMR,96.51752295,21.19332882,104,Myanmar,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,15+,15 years old and over,MALE,Male,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
",,,C,,,GLOTIP Database,,,,,,60.59,2016.0,60.59
MMR,96.51752295,21.19332882,104,Myanmar,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,<15Y,under 15 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",,,C,,,GLOTIP Database,,,,,,8.79,2016.0,8.79
MMR,96.51752295,21.19332882,104,Myanmar,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,<15Y,under 15 years old,MALE,Male,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",,,C,,,GLOTIP Database,,,,,,4.89,2016.0,4.89
BLR,28.04940161,53.54193075,112,Belarus,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,15+,15 years old and over,FEMALE,Female,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
",,,C,,,GLOTIP Database,,,,,,52.17,2016.0,52.17
BLR,28.04940161,53.54193075,112,Belarus,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.2,"End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.2,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,VC_VAW_DIST,Age and sex distribution of detected victims of trafficking in persons (%),2019.Q1.G.01,15+,15 years old and over,MALE,Male,G,Global,PERCENT,Percentage,,,"Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
",,,C,,,GLOTIP Database,,,,,,9.24,2016.0,9.24
