series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage	0.13714	0.11691	0.10648	0.10931	0.10465	0.10316	0.09861	0.09921	0.09039	0.09173	0.09283	0.08891	0.092614	2016	0.08891	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	1.84395	1.85109	1.8593	1.85067	1.8452	1.843	1.84266	1.84127	1.85741	1.87939	1.89136	1.89234	1.872354	2016	1.89234	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																	
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	0.00944	0.00995	0.01048	0.01125	0.01161	0.0139	0.01609	0.01717	0.01797	0.0189	0.01748	0.01771	0.017846	2016	0.01771	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage	0.34876	0.34417	0.34295	0.34563	0.344	0.35023	0.35777	0.35129	0.34231	0.3363	0.33824	0.34007	0.341642	2016	0.34007	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage	0.13556	0.13536	0.13332	0.13394	0.13362	0.13656	0.13751	0.13939	0.13671	0.13326	0.1317	0.13097	0.134406	2016	0.13097	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	0.07056	0.07162	0.07301	0.07414	0.07443	0.07453	0.07524	0.07571	0.07559	0.0749	0.07455	0.07326	0.074802	2016	0.07326	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage	7.75565	7.78099	7.81228	7.82607	7.83897	7.8262	7.81522	7.79705	7.78824	7.72698	7.6843	7.6194	7.723194	2016	7.6194	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	87.39542	87.42916	87.44397	87.41515	87.38522	87.38261	87.38184	87.36864	87.34221	87.31039	87.21831	87.17733	87.283376	2016	87.17733	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	1.23473	1.24088	1.2195	1.1875	1.14718	1.10345	1.07701	1.0506	1.02249	1.00444	1.00894	1.0194	1.021174	2016	1.0194	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	0.17679	0.16993	0.16192	0.15925	0.16022	0.15844	0.15967	0.17179	0.18262	0.18626	0.18917	0.18889	0.183746	2016	0.18889	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	0.76382	0.76482	0.76574	0.76383	0.76605	0.76594	0.7665	0.76507	0.76584	0.7666	0.7676	0.76729	0.76648	2016	0.76729	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage	9.91863	9.94409	10.01941	10.07417	9.97402	9.98754	10.0294	10.01049	10.19444	10.25477	10.5218	10.75736	10.347772	2016	10.75736	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage	7.74749	7.70265	7.74461	7.70212	7.4353	7.2342	7.15549	7.03847	6.84909	6.83362	6.84653	6.82962	6.879466	2016	6.82962	Global Surface Water Explorer extraction for UN Environment	C
