"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Freq_Code","Freq_Desc","ReportingType_Code","ReportingType_Desc","Value_1983.0","Value_1985.0","Value_1987.0","Value_1989.0","Value_1990.0","Value_1992.0","Value_1995.0","Value_1997.0","Value_2000.0","Value_2004.0","Value_2006.0","Value_2008.0","Value_2009.0","Value_2011.0","Value_2013.0","Latest_Year","Latest_Value","Nature_Desc"
"1","World","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","16.666667","18.181818","24.60733","26.842105","18.617021","24.774775","27.038627","23.641304","27.437642","24.375","27.967807","32.494759","29.873418","28.741093","31.359649",2013.0,"31.359649","Data nature not available"
"2","Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"5","South America","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"9","Oceania","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"11","Western Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"13","Central America","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"15","Northern Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"17","Middle Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"18","Southern Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"19","Americas","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
